name,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9
8-1,-9.503282110433489,-7.1657482295883375,-1.0079382461615407,9.97887743447172,12.52597196643594,2.7594876272348934,0.8633069409741669,-0.5185818313563868,0.13749336391009762,4.38864790163684e-15
8-2,-17.319172033122566,-7.33266479499395,-7.597216511072815,10.029715632212255,-5.68023499826206,-8.862784364241103,1.0396857434596383,0.46907626071590053,0.18468975796607764,4.388647901636839e-15
8-3,-8.384180191734034,-1.9677864902355051,-4.932054207587239,7.504044664319962,-7.192798093818632,11.877906807143003,0.6931861440271632,0.05050948025670477,-0.33177699768275376,4.388647901636864e-15
8-4,9.12474978398764,26.184402409612442,6.237305717324852,11.271611126283927,0.16980494201317112,-1.318957695932784,-2.1180270422400627,0.035556642452687345,0.019629633157612986,4.3886479016368466e-15
8-5,70.35028995548743,-14.800423007040179,-0.30042383852557314,-0.47485272472692275,-1.302366903035518,-1.395014235091032,0.010607890046240147,0.0004008979607114107,-0.000156330092463285,4.3886479016368434e-15
16-1,-9.86792674204574,-5.668637164137515,-5.838301292839049,-7.754316550165985,13.766507544445982,0.7538128633187615,-0.7942527530028085,0.5198820727018558,-0.13859974901569733,4.388647901636848e-15
16-2,-17.599776058043126,-6.100168658931606,-11.944580423995351,-6.093509113728709,-4.4871960403352364,-10.604900400727187,-0.9581447589271894,-0.47303085474527123,-0.1853587249773942,4.388647901636851e-15
16-3,-8.677720212771279,-0.5361159744837167,-9.708486269008535,-10.056577348657582,-5.893199231123302,9.928421379620785,-0.8519377575565868,-0.04689526625416334,0.33370711223914057,4.388647901636833e-15
16-4,8.616400059852959,28.151144540983466,0.6722531569746826,-9.865724346233161,0.9563057778798267,-2.4880921778631837,2.1266364830312177,-0.037600202812231774,-0.02000304273313559,4.388647901636847e-15
19,-16.739382451177764,-10.764002631185129,34.41944191489055,-4.539268773775524,-2.86279496420015,-0.6498798034621748,-0.011060889811781044,0.0006828010801938183,0.0003749772285187164,4.3886479016368466e-15
